month,leads,wins,lost,win_rate_pct,revenue_comissao_psa,valor_total_contrato,revenue_per_lead,last_lead_date,days_since_last_lead
2025-02,15,15,0,100.0,368950.0,2468000.0,24596.67,2025-02-28,448
2025-03,14,14,0,100.0,270372.0,679000.0,19312.29,2025-03-28,420
2025-01,74,74,0,100.0,910338.0,4044816.67,12301.86,2025-01-28,479
2025-04,8,7,1,87.5,90358.0,5333579.0,11294.75,2025-04-30,387
2026-05,317,107,62,33.8,1020543.89,606281.0,3219.38,2026-05-21,0
2026-02,396,71,320,17.9,812579.26,3382499.0,2051.97,2026-02-27,83
2026-03,540,68,433,12.6,823951.49,3185286.52,1525.84,2026-03-31,51
2026-01,472,59,404,12.5,704888.5,3459837.5,1493.41,2026-01-30,111
2025-06,611,84,526,13.7,859683.42,4065727.72,1407.01,2025-06-30,325
2026-04,496,70,320,14.1,662389.45,2411492.51,1335.46,2026-04-30,21
2025-11,832,84,748,10.1,865044.78,4188231.87,1039.72,2025-11-30,173
2025-12,548,41,507,7.5,546643.6,2138618.0,997.52,2025-12-30,142
2025-07,1041,88,953,8.5,965833.59,4176346.8,927.79,2025-07-31,294
2025-10,948,94,852,9.9,794465.67,4132556.6,838.04,2025-10-31,202
2025-05,15561,1157,14400,7.4,11259008.96,58616544.85,723.54,2025-05-30,356
2025-08,1072,82,990,7.6,708557.15,3601779.78,660.97,2025-08-31,264
2025-09,1122,70,1051,6.2,708166.81,3265090.8,631.16,2025-09-30,233
